;;;;Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);Ausfuhr: Gewicht;Ausfuhr: Wert;Ausfuhr: Wert (US-Dollar);Einfuhr: Gewicht;Einfuhr: Wert;Einfuhr: Wert (US-Dollar);
;;;;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;t;Tsd. EUR;Tsd. US $;
Column1;Column2;Column3;Column4;Checksum;Jan-01;Jan-02;Jan-03;Jan-04;Jan-05;Jan-06;Feb-01;Feb-02;Feb-03;Feb-04;Feb-05;Feb-06;Mär-01;Mär-02;Mär-03;Mär-04;Mär-05;Mär-06;Apr-01;Apr-02;Apr-03;Apr-04;Apr-05;Apr-06;Mai-01;Mai-02;Mai-03;Mai-04;Mai-05;Mai-06;Jun-01;Jun-02;Jun-03;Jun-04;Jun-05;Jun-06;Jul-01;Jul-02;Jul-03;Jul-04;Jul-05;Jul-06;Aug-01;Aug-02;Aug-03;Aug-04;Aug-05;Aug-06;Sep-01;Sep-02;Sep-03;Sep-04;Sep-05;Sep-06;Okt-01;Okt-02;Okt-03;Okt-04;Okt-05;Okt-06;Nov-01;Nov-02;Nov-03;Nov-04;Nov-05;Nov-06;Dez-01;Dez-02;Dez-03;Dez-04;Dez-05;Dez-06
2019;Ägypten;WA081010;Erdbeeren, frisch;16458;-;-;-;1269,5;4654;5313;-;-;-;332,2;904;1026;-;-;-;56,3;141;160;-;-;-;2,1;3;3;-;-;-;0,1;1;1;-;-;-;0,1;1;1;-;-;-;0,1;1;1;-;-;-;0,1;1;1;-;-;-;0,1;1;1;-;-;-;0,1;1;1;-;-;-;463,7;2202;2434;-;-;-;1629,4;6763;7516
2017;Ägypten;WA081010;Erdbeeren, frisch;15217;-;-;-;1116,8;4182;4438;-;-;-;292,3;1126;1199;-;-;-;46,9;237;253;-;-;-;0,9;2;2;-;-;-;3,5;21;23;-;-;-;1,7;3;3;-;-;-;0,6;1;1;-;-;-;0,6;1;1;-;-;-;0;0;0;-;-;-;0,6;1;1;-;-;-;306,4;1516;1780;-;-;-;1531,2;6350;7516
2015;Ägypten;WA081010;Erdbeeren, frisch;11214;-;-;-;881,5;2892;3361;-;-;-;213,7;626;710;-;-;-;20,6;52;57;-;-;-;0,5;2;3;-;-;-;0,7;2;2;-;-;-;0,9;4;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;52;266;285;-;-;-;1419,6;6244;6791
2014;Ägypten;WA081010;Erdbeeren, frisch;10900;-;-;-;863,5;2797;3806;-;-;-;70,6;234;319;-;-;-;12,6;70;97;-;-;-;13;11;15;-;-;-;-;-;-;-;-;-;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30,8;147;184;-;-;-;1236,8;5255;6479
2016;Ägypten;WA081010;Erdbeeren, frisch;10717;-;-;-;297,7;1328;1442;-;-;-;86,5;518;575;-;-;-;0,4;1;1;-;-;-;1,8;1;2;-;-;-;3,1;18;20;-;-;-;0;0;0;-;-;-;0;0;0;-;-;-;-;-;-;-;-;-;0;0;0;-;-;-;0,5;2;2;-;-;-;254,3;1296;1400;-;-;-;1602,2;6900;7275
2009;Ägypten;WA081010;Erdbeeren, frisch;9123;-;-;-;860,7;2705;3581;-;-;-;421,5;1102;1409;-;-;-;1258,4;1102;1439;-;-;-;7;25;33;-;-;-;1,7;4;6;-;-;-;-;-;-;-;-;-;0,2;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;41,9;118;176;-;-;-;541,9;1695;2478
2020;Ägypten;WA080510;Orangen, frisch oder getrocknet;8650;-;-;-;82,5;60;67;-;-;-;355,2;211;230;-;-;-;753,3;486;538;-;-;-;1721;1580;1716;-;-;-;2239,1;2415;2633;-;-;-;2022;2370;2668;-;-;-;574,4;564;646;-;-;-;41;82;97;-;-;-;53,9;47;55;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2012;Ägypten;WA081010;Erdbeeren, frisch;7024;-;-;-;527,7;2272;2932;-;-;-;136,4;428;566;-;-;-;11,5;17;22;-;-;-;1;3;5;-;-;-;0,1;0;0;-;-;-;-;-;-;-;-;-;2,8;15;18;-;-;-;-;-;-;-;-;-;0,2;2;2;-;-;-;-;-;-;-;-;-;63,6;276;354;-;-;-;600;2382;3125
2020;Ägypten;WA081010;Erdbeeren, frisch;6750;-;-;-;1310,8;5112;5674;-;-;-;303,6;928;1012;-;-;-;8,9;25;28;-;-;-;0,3;1;1;-;-;-;-;-;-;-;-;-;5,3;31;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2013;Ägypten;WA081010;Erdbeeren, frisch;6043;-;-;-;397,7;1631;2168;-;-;-;108,8;359;479;-;-;-;1,3;4;6;-;-;-;7;37;48;-;-;-;0;0;0;-;-;-;-;-;-;-;-;-;0;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;-;-;-;37,7;127;172;-;-;-;680,9;2313;3170
2010;Ägypten;WA081010;Erdbeeren, frisch;5865;-;-;-;421,4;1126;1607;-;-;-;182,2;335;458;-;-;-;315,1;505;685;-;-;-;0,5;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;28,2;115;157;-;-;-;525,5;2238;2958
2009;Ägypten;WA080510;Orangen, frisch oder getrocknet;4684;-;-;-;282,8;185;245;-;-;-;947,3;626;801;-;-;-;1212,5;739;964;-;-;-;1108,2;783;1033;-;-;-;733,9;516;705;-;-;-;631,5;642;900;-;-;-;18,3;5;7;-;-;-;3,2;3;4;-;-;-;1,3;1;2;-;-;-;6,5;7;10;-;-;-;-;-;-;-;-;-;13,7;9;13
2011;Ägypten;WA081010;Erdbeeren, frisch;4180;-;-;-;233,5;680;908;-;-;-;40,3;95;130;-;-;-;9,2;20;28;-;-;-;0,2;1;1;-;-;-;-;-;-;-;-;-;0;0;0;-;-;-;0,7;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,2;0;0;-;-;-;21;93;126;-;-;-;436,8;2265;2985
2008;Ägypten;WA081010;Erdbeeren, frisch;4042;-;-;-;284,1;795;1170;-;-;-;119,1;344;507;-;-;-;31,6;63;97;-;-;-;89,3;353;555;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10,3;44;56;-;-;-;335,3;1232;1657
2016;Ägypten;WA080510;Orangen, frisch oder getrocknet;3803;-;-;-;40,7;25;28;-;-;-;624,4;297;330;-;-;-;1157,8;645;716;-;-;-;1341,5;744;844;-;-;-;1034;656;742;-;-;-;1214,4;698;784;-;-;-;292,7;224;248;-;-;-;104,5;49;55;-;-;-;49,8;27;30;-;-;-;5;4;4;-;-;-;8;8;8;-;-;-;20,3;14;14
2017;Ägypten;WA080510;Orangen, frisch oder getrocknet;2900;-;-;-;277,5;170;181;-;-;-;428,9;218;232;-;-;-;644,8;315;336;-;-;-;726,7;388;416;-;-;-;1190,1;719;796;-;-;-;832,3;554;622;-;-;-;241,1;174;201;-;-;-;74,6;65;77;-;-;-;14,9;13;16;-;-;-;6,8;4;5;-;-;-;7,3;5;6;-;-;-;15,7;10;12
2015;Ägypten;WA080510;Orangen, frisch oder getrocknet;2794;-;-;-;380,7;179;208;-;-;-;897,9;411;467;-;-;-;443,1;220;238;-;-;-;938,8;453;489;-;-;-;692,8;387;432;-;-;-;718;381;427;-;-;-;337,8;165;182;-;-;-;175,4;123;137;-;-;-;10;11;13;-;-;-;1,9;2;2;-;-;-;316,4;185;198;-;-;-;1,2;1;1
2018;Ägypten;WA080510;Orangen, frisch oder getrocknet;2645;-;-;-;48,8;28;35;-;-;-;280,4;150;185;-;-;-;732,6;368;453;-;-;-;995,2;474;582;-;-;-;1151,6;537;635;-;-;-;600;295;344;-;-;-;497,3;253;296;-;-;-;112,9;82;95;-;-;-;11,4;8;9;-;-;-;9,8;7;8;-;-;-;1,2;1;1;-;-;-;2;1;2
2008;Ägypten;WA080510;Orangen, frisch oder getrocknet;2327;-;-;-;126,5;70;103;-;-;-;178,8;115;169;-;-;-;198,4;113;176;-;-;-;1073,5;609;959;-;-;-;557,5;445;692;-;-;-;123,2;87;135;-;-;-;33,5;26;42;-;-;-;21,6;17;26;-;-;-;5;5;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24,2;13;17
