Jahr;Monat;DatenTyp;Einheit;WA07019010 Kartoffeln, frisch oder gek�hlt;WA07019050 Fr�hkartoffeln, frisch oder gek�hlt, 1.1.030.6.;WA07019090 Kartoffeln and., frisch oder gek�hlt;Kartoffeln combined;WA07092000 Spargel, frisch oder gek�hlt;WA08051020 S��orangen, frisch                      (bis 2016);WA08051022 Navel0Orangen, frisch;WA08051024 Blondorangen, frisch;WA08051028 S��orangen, a.n.g., frisch;WA08051080 Andere Zitrusfr�chte, frisch oder getrocknet;Orangen combined;WA08055010 Zitronen, frisch oder getrocknet;WA08101000 Erdbeeren, frisch;WA07099390 K�rbisse, a.n.g., frisch oder gek�hlt;WA07020000 Tomaten, frisch oder gek�hlt;WA07031019 Speisezwiebeln, frisch oder gek�hlt;WA07061000 Karotten und Speisem�hren, Speiser�ben, frisch;WA07070005 Gurken, frisch oder gek�hlt;WA07070090 Cornichons, frisch oder gek�hlt;WA07081000 Erbsen (Pisum sativum), frisch oder gek�hlt;WA07095930 Steinpilze, frisch oder gek�hlt;WA07097000 Gartenspinat u.a., frisch oder gek�hlt;WA08081080 Andere �pfel, frisch;WA08083090 Birnen, a.n.g., frisch;WA08102010 Himbeeren, frisch
2007;Februar;Einfuhr: Gewicht;t;217,7;11196,7;45712,9;57127,3;378,4;68512,6;0;0;0;24,6;68537,2;8313;3098;0;40898,9;21643,2;28107,3;30970,7;7,7;328,7;6,4;519,2;44396,3;0;336,6
2007;Februar;Einfuhr: Wert;Tsd. EUR;22;4340;14734;19096;1494;34501;0;0;0;14;34515;5222;8619;0;61769;10500;9712;32890;9;767;101;637;32172;0;761
2007;M�rz;Ausfuhr: Gewicht;t;2022,9;1788,5;110073,8;113885,2;549,5;2544,6;0;0;0;3,7;2548,3;492,3;731,9;0;2605,8;8418;945;1039,2;0;168,6;0,3;93,6;10497,5;0;21,5
2007;M�rz;Ausfuhr: Wert;Tsd. EUR;180;674;23589;24443;1416;1478;0;0;0;2;1480;339;1834;0;3644;3449;351;1228;0;282;4;86;6913;0;78
2007;M�rz;Einfuhr: Gewicht;t;255,3;36626;37574,2;74455,5;2715,5;86154,1;0;0;0;0;86154,1;10300,2;9855,5;0;58277,6;22079,5;28486,6;39839,6;9,5;218,2;5,1;464,3;55376,2;0;363,9
2007;M�rz;Einfuhr: Wert;Tsd. EUR;39;13467;10984;24490;10305;42736;0;0;0;0;42736;6581;20008;0;84191;13022;10225;44528;8;795;97;557;40028;0;782
2007;April;Ausfuhr: Gewicht;t;871,7;4264,5;81538,3;86674,5;694,7;2658,9;0;0;0;5,2;2664,1;1775;887,5;0;2990,2;4634,2;2301,3;955,3;0;793,8;0,5;428,8;13925,4;0;33,3
2007;April;Ausfuhr: Wert;Tsd. EUR;112;1841;17019;18972;1967;1586;0;0;0;2;1588;881;1812;0;4952;2070;859;968;0;496;5;185;7727;0;229
2007;April;Einfuhr: Gewicht;t;306,8;33451;40116,5;73874,3;7349,2;65845,8;0;0;0;5,2;65851;12346,5;22076,7;0;62307;28994;27729,1;45113,7;231,1;200,6;8,6;461,5;65512,7;0;485,5
2007;April;Einfuhr: Wert;Tsd. EUR;60;11110;12947;24117;24367;30982;0;0;0;16;30998;7904;40393;0;102094;15000;10830;39960;163;749;149;544;51480;0;909
2007;Mai;Ausfuhr: Gewicht;t;1671,1;7843,2;72051,2;81565,5;1019,4;3433,1;0;0;0;0;3433,1;886,6;2580,6;0;4150,6;6509,5;4337,2;1066,6;1,7;388,3;6,2;1593,8;13608,2;0;21,6
2007;Mai;Ausfuhr: Wert;Tsd. EUR;235;3314;16012;19561;3011;1970;0;0;0;0;1970;529;4181;0;5722;3505;1678;1109;2;366;22;260;8741;0;109
2007;Mai;Einfuhr: Gewicht;t;453;54497,2;45218,9;100169,1;7050,3;28004,5;0;0;0;0;28004,5;12145,9;29313,2;0;69343,9;27872,1;24222,2;46085,3;261,1;498,1;2,1;860,2;56096,9;0;483,1
2007;Mai;Einfuhr: Wert;Tsd. EUR;88;20161;15338;35587;18034;15023;0;0;0;0;15023;8092;45042;0;95074;17231;9162;38596;196;1121;20;389;44478;0;1695
2007;Juni;Ausfuhr: Gewicht;t;0;5418,1;68771,4;74189,5;273,1;733,3;0;0;0;0;733,3;884,5;4591,7;0;3937,1;3726,5;1356,9;1902,3;1,2;350,5;1,5;3001,1;13346;0;63,5
2007;Juni;Ausfuhr: Wert;Tsd. EUR;0;2318;13800;16118;960;570;0;0;0;0;570;596;9693;0;3901;2493;712;1685;1;338;17;292;9537;0;258
2007;Juni;Einfuhr: Gewicht;t;221,4;50079,5;45885,2;96186,1;4567,7;59035,9;0;0;0;0;59035,9;13648,6;12322,5;0;71594;28362,5;21597,4;45706,1;1060,2;345,4;5,9;826,5;53209,3;0;1302,1
2007;Juni;Einfuhr: Wert;Tsd. EUR;54;19376;16216;35646;10853;27154;0;0;0;0;27154;9011;19934;0;78437;16648;7333;35492;786;826;53;342;38932;0;2937
2007;Juli;Ausfuhr: Gewicht;t;49,7;4740;148776,8;153566,5;84,2;1410,1;0;0;0;4,2;1414,3;1063,3;2602,6;0;3454,8;13397,3;5116;2758,8;1,9;1822,4;3,4;104,6;8442,6;0;171,5
2007;Juli;Ausfuhr: Wert;Tsd. EUR;10;938;26362;27310;333;1091;0;0;0;6;1097;693;5837;0;3942;6525;1512;1068;2;960;43;128;7247;0;412
2007;Juli;Einfuhr: Gewicht;t;225,9;3888,7;61598,7;65713,3;1855,2;21437;0;0;0;1,8;21438,8;12954,1;4241;0;75183,8;31159,6;15256;49302,7;1282,8;175,9;28,8;275,7;62980,6;0;2843,6
2007;Juli;Einfuhr: Wert;Tsd. EUR;33;1285;22995;24313;5313;11851;0;0;0;13;11864;9022;8052;0;84203;15868;7173;32165;949;592;182;315;52523;0;4586
